name,online_order,book_table,votes,approx_cost(for two people),listed_in(type),rating
Roving Feast,No,No,1047.00,450.00,Dining,4.5
FreshMenu,Yes,No,627.00,450.00,Dining,3.5
Banashankari Donne Biriyani,Yes,No,104.00,300.00,Dining,3.5
Wamama,Yes,Yes,354.00,800.00,other,4.5
Five Star Chicken,No,No,55.00,200.00,Dining,3.5
XO Belgian Waffle,Yes,No,17.00,400.00,Dining,3.5
Peppy Peppers,No,No,244.00,800.00,other,4.5
Goa 0 Km,Yes,Yes,163.00,800.00,Dining,3.5
Chinese Kitchen,Yes,No,58.00,150.00,Dining,3.5
Jeet Restaurant,No,Yes,808.00,850.00,Dining,4.5
Cake of the Day,No,No,78.00,150.00,Dining,3.5
Kabab Magic,Yes,No,1720.00,400.00,Dining,4.5
Namma Brahmin's Idli,Yes,No,34.00,100.00,Dining,3.5
Gustoes Beer House,No,No,868.00,700.00,Dining,4.5
Sugar Rush,No,No,39.00,300.00,Dining,3.5
Burger King,Yes,No,71.00,600.00,Dining,3.5
The Good Bowl,Yes,No,6.00,500.00,Dining,3.5
The Biryani Cafe,No,No,520.00,300.00,Dining,4.5
Spicy Tandoor,No,No,0.00,150.00,Dining,4.5
LSD Cafe,No,No,84.00,700.00,other,2.5
Rolls On Wheels,No,No,299.00,300.00,Dining,3.5
Om Sri Vinayaka Chats,No,No,0.00,500.00,Dining,3.5
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,558.00,150.00,Dining,4.5
Devanna Dum Biriyani Centre,Yes,No,28.00,300.00,Dining,3.5
Kolbeh,No,No,22.00,500.00,Dining,3.5
Upahar Sagar,No,No,39.00,350.00,Dining,3.5
Kadalu Sea Food Restaurant,Yes,No,153.00,500.00,Dining,3.5
Frozen Bottle,Yes,No,146.00,400.00,Dining,4.5
Parimala Sweets,No,No,14.00,200.00,Dining,3.5
Vaishali Deluxe,No,No,42.00,700.00,Dining,3.5
Chill Out,No,No,0.00,100.00,Dining,3.5
The Big O Bakes,No,No,66.00,300.00,Dining,4.5
Meghana Foods,Yes,No,4401.00,600.00,Dining,4.5
Krishna Sagar,No,No,31.00,200.00,Dining,3.5
Dessert Rose,No,No,7.00,500.00,Dining,3.5
Chickpet Donne Biryani House,No,No,21.00,250.00,Dining,3.5
Me And My Cake,No,No,0.00,500.00,Dining,3.5
Sunsadm,No,No,0.00,400.00,Dining,3.5
Annapooraneshwari Mess,No,No,0.00,200.00,Dining,3.5
Thanco's Natural Ice Creams,No,No,9.00,300.00,Dining,3.5
Nandhini Deluxe,No,No,283.00,600.00,Dining,2.5
Vi Ra's Bar and Restaurant,No,No,62.00,800.00,Dining,3.5
Kaggis,No,No,64.00,250.00,Dining,3.5
Ayda Persian Kitchen,No,No,39.00,950.00,Dining,3.5
Chatar Patar,No,No,65.00,300.00,Dining,3.5
Polar Bear,Yes,No,71.00,400.00,Dining,3.5
Kidambi's Kitchen,No,No,52.00,300.00,Dining,3.5
Mane Thindi,No,No,130.00,200.00,Dining,3.5
Kotian Karavali Restaurant,No,No,10.00,300.00,Dining,3.5
Floured-Baked With Love,No,No,45.00,400.00,Dining,3.5
CAFE NOVA,No,No,11.00,600.00,Dining,3.5
Cakes & Slices,No,No,13.00,300.00,Dining,3.5
Spice 9,No,No,8.00,300.00,Dining,3.5
Coffee Shopee,No,No,0.00,250.00,Dining,3.5
Naveen Kabab & Biriyani Mane,No,No,9.00,300.00,Dining,3.5
Katriguppe Donne Biryani,No,No,4.00,300.00,Dining,3.5
Hari Super Sandwich,No,No,0.00,200.00,Dining,3.5
Atithi Point Ande Ka Funda,No,No,29.00,150.00,Dining,3.5
Just Bake,No,No,8.00,400.00,Dining,3.5
Dharwad Line Bazaar Mishra Pedha,No,No,0.00,150.00,Dining,3.5
Cake Bite,No,No,0.00,300.00,Dining,3.5
Aarush's Food Plaza,No,No,0.00,200.00,Dining,3.5
Wood Stove,No,No,0.00,150.00,Dining,3.5
Kulfi & More,No,No,0.00,150.00,Dining,3.5
Kannadigas Karavali,No,No,0.00,250.00,Dining,3.5
K27 - The Pub,No,No,30.00,900.00,Dining,3.5
Bengaluru Coffee House,Yes,No,201.00,300.00,Dining,4.5
New Mangalore Lunch Home,No,No,7.00,200.00,Dining,3.5
Coffee Bytes,No,No,6.00,100.00,Dining,3.5
Parjanya Chat Zone,No,No,17.00,200.00,Dining,3.5
Kwality Wall's Swirl's Happiness Station,No,No,25.00,200.00,Dining,2.5
Soms Kitchen & Bakes,No,No,0.00,400.00,Dining,2.5
Banashankari Nati Style,No,No,0.00,350.00,Dining,2.5
Ruchi Maayaka,No,No,8.00,100.00,Dining,3.5
Mohitesh Hut Roll,No,No,0.00,150.00,Dining,3.5
Sri Basaveshwar Jolada Rotti Oota,No,No,0.00,150.00,Dining,3.5
Roll Magic Fast Food,No,No,0.00,200.00,Dining,3.5
Foodlieious Multi Cuisine,No,No,0.00,100.00,Dining,3.5
Thanishka Nati And Karavali Style,No,No,0.00,400.00,Dining,3.5
Swathi Cool Point,No,No,0.00,200.00,Dining,4.5
Kaumudis Juoice,No,No,0.00,150.00,Dining,3.5
Amma - Manae,No,No,0.00,400.00,Dining,3.5
Sri Sai Tiffannies,No,No,0.00,150.00,Dining,3.5
Hotel Andhra Speices,No,No,0.00,250.00,Dining,2.5
Sri Murari Family Restaurant,No,No,0.00,250.00,Dining,2.5
Aramane Donne Biriyani,No,No,0.00,150.00,Dining,2.5
Darkolates,No,No,0.00,200.00,Dining,3.5
Swaada Healthy Kitchen,No,No,0.00,350.00,Dining,3.5
Gawdaru Mane Beriyani,No,No,0.00,300.00,Dining,3.5
Melting Melodies,No,No,0.00,100.00,Dining,3.5
New Indraprasta,No,No,0.00,150.00,Dining,3.5
Anna Kuteera,Yes,No,771.00,450.00,Dining,4.5
Darbar,No,No,98.00,800.00,Dining,3.5
Vijayalakshmi,Yes,No,47.00,200.00,Dining,3.5
